,x,y,weights
631,113155.91440000013,10057223.9235,1
632,113326.54889999982,10057228.041,1
633,113321.7862999998,10057240.1501,1
634,113339.81460000016,10057260.6685,1
635,113334.5203999998,10057269.6196,1
636,113597.8454,10057193.6788,1
637,113586.19049999956,10057199.4752,1
638,114606.39300000016,10056455.1714,1
639,114601.0878999997,10056444.1207,1
640,114575.6501000002,10056439.9235,1
641,114504.71789999958,10056579.9736,1
642,114870.80960000027,10056442.3965,1
643,114867.6239,10056430.8183,1
644,114868.14670000039,10056417.6591,1
645,114845.38150000013,10056456.0955,1
646,113879.80669999961,10056305.5491,1
647,114690.8152,10055776.6477,1
648,114650.5461,10055784.0382,1
649,114724.74469999969,10055805.5795,1
650,114807.9447999997,10055814.4833,1
651,114585.91810000036,10055823.0232,1
652,114626.20040000044,10055840.3717,1
653,114740.13719999976,10055852.9437,1
654,114743.32220000029,10055863.4692,1
655,114716.83530000038,10055879.2741,1
656,114592.84219999984,10055889.341,1
657,114682.4104000004,10055915.085,1
658,114856.75059999991,10055916.5711,1
659,114732.2253,10055921.9011,1
660,114730.11099999957,10055931.9031,1
661,114845.10379999969,10055937.6317,1
662,114846.71239999961,10055972.8969,1
663,114837.70729999989,10055979.2181,1
664,114774.1266999999,10055994.5164,1
665,114834.54470000044,10056010.8013,1
666,114767.2893000003,10056090.8439,1
667,114802.81500000041,10056131.881,1
668,113986.24019999988,10056159.1628,1
669,114769.98280000035,10056172.9546,1
670,114745.6129999999,10056184.0212,1
671,114847.94280000031,10056291.8701,1
672,114777.47910000011,10056317.6995,1
673,114747.81329999957,10056334.5589,1
674,114593.27670000028,10055709.8517,1
675,114622.93890000042,10055686.1497,1
676,114634.59300000034,10055678.7745,1
677,114667.9896999998,10055702.443,1
678,114678.05910000019,10055704.5431,1
679,114682.24170000013,10055597.6897,1
680,114692.82639999967,10055572.4188,1
681,114694.94079999998,10055562.4168,1
682,114698.642,10055547.1504,1
683,114707.13779999968,10055579.7802,1
684,114717.73290000018,10055573.9847,1
685,114719.29279999994,10055517.6633,1
686,114719.27109999955,10055476.6072,1
687,114720.86699999962,10055488.1863,1
688,114743.7229000004,10055620.2906,1
689,114755.83559999987,10055478.1669,1
690,114798.35170000046,10055711.3219,1
691,114798.81099999975,10055578.1526,1
692,114798.80819999985,10055572.889,1
693,114865.7971,10055988.1512,1
694,114880.09169999976,10055963.931,1
695,114889.61649999954,10055938.6607,1
696,114947.05470000021,10056328.1357,1
697,114948.0279000001,10056166.543,1
698,114961.80850000028,10056172.3256,1
699,114969.75769999996,10056173.374,1
700,114982.4698,10056162.8401,1
701,115015.33519999962,10056183.8768,1
702,115015.34819999989,10056208.0893,1
703,115029.18489999976,10056318.6172,1
704,115038.70430000033,10056283.346,1
705,115041.63989999983,10055826.4653,1
706,115054.92559999973,10055898.043,1
707,115113.296,10056049.6031,1
708,115114.36870000046,10056073.815,1
709,115176.49309999961,10056308.5374,1
710,115227.90369999968,10056326.9323,1
711,115299.32870000042,10056117.4039,1
712,115328.70660000015,10055558.9233,1
713,115332.90940000024,10055489.9683,1
714,115337.7138,10055556.8131,1
715,115343.8536,10056141.5926,1
716,115386.65199999977,10055909.4464,1
717,115430.69230000023,10056018.9051,1
718,114968.91849999968,10055592.2742,1
719,114981.1166000003,10055611.7431,1
